yaxcatd (C:\Program Files\Tableau\Tableau 2021.1\bin\yaxcat\yaxcatd.exe) built at dc7ad89 listening on 127.0.0.1:55279 with 8 worker threads.
2021-04-27T16:03:50+0530 17.658ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 256x1 targets, 256x1 givens
2021-04-27T16:03:50+0530 0.336ms; [no ensemble]::delete_data: dt_NKIB4LKXRTCTJXVRH4YLB6S2, deleted = yes
2021-04-27T16:03:50+0530 0.725ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_A36RUPE4LXCMKA7JFNOLRQ44
2021-04-27T16:03:50+0530 1.431ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.080ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 2.192ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.075ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.043ms; [no ensemble]::delete_data: dt_A36RUPE4LXCMKA7JFNOLRQ44, deleted = yes
2021-04-27T16:03:50+0530 0.721ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_V2L2LIQNZS6XLNU6JRTFAA5D
2021-04-27T16:03:50+0530 1.322ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.079ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 3.284ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.087ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.045ms; [no ensemble]::delete_data: dt_V2L2LIQNZS6XLNU6JRTFAA5D, deleted = yes
2021-04-27T16:03:50+0530 0.730ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_NSGVKKEVEYWSDUSOF5TDFVNQ
2021-04-27T16:03:50+0530 1.521ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.070ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 2.510ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.069ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.043ms; [no ensemble]::delete_data: dt_NSGVKKEVEYWSDUSOF5TDFVNQ, deleted = yes
